Parameter,Median,CI,CI_low,CI_high,Rhat,ESS_tail,ESS_bulk
"r_quadrat:trap[quadrat_066_trap_114,Intercept]",-0.14,0.95,-0.51,0.23,1.000,8649.00,15266.00
"r_quadrat:trap[quadrat_066_trap_115,Intercept]",-0.34,0.95,-0.75,0.02,1.000,8204.00,17711.00
"r_quadrat:trap[quadrat_066_trap_116,Intercept]",0.40,0.95,0.07,0.75,1.000,8568.00,13894.00
"r_quadrat:trap[quadrat_066_trap_117,Intercept]",0.29,0.95,-0.14,0.67,1.001,7735.00,17192.00
"r_quadrat:trap[quadrat_066_trap_311,Intercept]",0.12,0.95,-0.42,0.62,1.000,6800.00,26571.00
"r_quadrat:trap[quadrat_066_trap_312,Intercept]",-0.32,0.95,-0.75,0.14,1.000,7513.00,19414.00
"r_quadrat:trap[quadrat_066_trap_414,Intercept]",-0.22,0.95,-0.98,0.46,1.001,5814.00,28519.00
"r_quadrat:trap[quadrat_066_trap_415,Intercept]",-0.08,0.95,-0.74,0.56,1.001,7239.00,27144.00
"r_quadrat:trap[quadrat_066_trap_416,Intercept]",0.43,0.95,-0.25,1.05,1.000,5793.00,23405.00
"r_quadrat:trap[quadrat_066_trap_417,Intercept]",0.15,0.95,-0.54,0.85,1.000,6198.00,26300.00
"r_quadrat:trap[quadrat_068_trap_103,Intercept]",0.02,0.95,-0.47,0.49,1.000,7089.00,20266.00
"r_quadrat:trap[quadrat_068_trap_104,Intercept]",-0.33,0.95,-0.76,0.10,1.000,7933.00,18185.00
"r_quadrat:trap[quadrat_068_trap_105,Intercept]",0.28,0.95,-0.08,0.62,1.000,8193.00,15568.00
"r_quadrat:trap[quadrat_068_trap_403,Intercept]",0.10,0.95,-0.63,0.81,1.001,7042.00,24887.00
"r_quadrat:trap[quadrat_068_trap_404,Intercept]",0.05,0.95,-0.66,0.76,1.001,7224.00,27759.00
"r_quadrat:trap[quadrat_068_trap_405,Intercept]",-0.11,0.95,-0.73,0.56,1.001,6763.00,25281.00
"r_quadrat:trap[quadrat_069_trap_100,Intercept]",-0.70,0.95,-1.22,-0.17,1.000,6974.00,20949.00
"r_quadrat:trap[quadrat_069_trap_102,Intercept]",0.54,0.95,0.09,1.03,1.000,8733.00,16342.00
"r_quadrat:trap[quadrat_069_trap_400,Intercept]",0.39,0.95,-0.29,1.13,1.001,7064.00,22576.00
"r_quadrat:trap[quadrat_069_trap_402,Intercept]",0.27,0.95,-0.45,0.94,1.001,6692.00,26979.00
"r_quadrat:trap[quadrat_070_trap_096,Intercept]",-0.03,0.95,-0.51,0.47,1.001,7463.00,15418.00
"r_quadrat:trap[quadrat_070_trap_098,Intercept]",-0.57,0.95,-1.09,-0.05,1.000,7352.00,14129.00
"r_quadrat:trap[quadrat_070_trap_296,Intercept]",-0.09,0.95,-0.79,0.65,1.001,7188.00,27250.00
"r_quadrat:trap[quadrat_070_trap_298,Intercept]",-0.03,0.95,-0.73,0.70,1.000,7046.00,25129.00
"r_quadrat:trap[quadrat_071_trap_091,Intercept]",-0.08,0.95,-0.59,0.44,1.001,6723.00,15138.00
"r_quadrat:trap[quadrat_071_trap_092,Intercept]",0.42,0.95,-0.02,0.84,1.000,7181.00,9223.00
"r_quadrat:trap[quadrat_071_trap_093,Intercept]",0.39,0.95,-0.10,0.85,1.001,7821.00,11741.00
"r_quadrat:trap[quadrat_071_trap_094,Intercept]",0.32,0.95,-0.16,0.76,1.000,7710.00,13623.00
"r_quadrat:trap[quadrat_071_trap_291,Intercept]",-0.05,0.95,-0.81,0.63,1.002,6840.00,26320.00
"r_quadrat:trap[quadrat_071_trap_292,Intercept]",-0.03,0.95,-0.74,0.60,1.001,6452.00,26736.00
"r_quadrat:trap[quadrat_071_trap_293,Intercept]",0.02,0.95,-0.69,0.75,1.002,6997.00,29343.00
"r_quadrat:trap[quadrat_071_trap_294,Intercept]",0.01,0.95,-0.67,0.67,1.001,7258.00,25572.00
"r_quadrat:trap[quadrat_072_trap_340,Intercept]",-0.11,0.95,-0.59,0.36,1.000,8275.00,19934.00
"r_quadrat:trap[quadrat_072_trap_341,Intercept]",0.08,0.95,-0.45,0.58,1.000,7355.00,23567.00
"r_quadrat:trap[quadrat_079_trap_023,Intercept]",-0.26,0.95,-0.66,0.11,1.001,8123.00,16577.00
"r_quadrat:trap[quadrat_079_trap_024,Intercept]",0.22,0.95,-0.30,0.74,1.000,6567.00,21258.00
"r_quadrat:trap[quadrat_079_trap_025,Intercept]",0.22,0.95,-0.16,0.57,1.000,8580.00,14170.00
"r_quadrat:trap[quadrat_079_trap_223,Intercept]",-0.00,0.95,-0.62,0.63,1.000,6654.00,30113.00
"r_quadrat:trap[quadrat_079_trap_224,Intercept]",-0.04,0.95,-0.77,0.67,1.000,7143.00,29088.00
"r_quadrat:trap[quadrat_079_trap_225,Intercept]",0.02,0.95,-0.62,0.63,1.001,7036.00,25699.00
"r_quadrat:trap[quadrat_083_trap_332,Intercept]",0.03,0.95,-0.41,0.44,1.001,8634.00,20532.00
"r_quadrat:trap[quadrat_084_trap_331,Intercept]",-0.04,0.95,-0.56,0.52,1.000,8130.00,23404.00
"r_quadrat:trap[quadrat_086_trap_112,Intercept]",0.24,0.95,-0.14,0.59,1.001,8558.00,14822.00
"r_quadrat:trap[quadrat_086_trap_113,Intercept]",-0.16,0.95,-0.57,0.25,1.000,8550.00,18475.00
