Parameter,Median,CI,CI_low,CI_high,Rhat,ESS_tail,ESS_bulk
"r_sp4[prot,Reproductive heterospecific density]",-0.32,0.95,-0.67,0.03,1.000,8691.00,11047.00
"r_sp4[pse1,Reproductive heterospecific density]",-0.19,0.95,-0.83,0.37,1.000,7525.00,18250.00
"r_sp4[pter,Reproductive heterospecific density]",-0.12,0.95,-0.77,0.54,1.000,7100.00,24974.00
"r_sp4[qua1,Reproductive heterospecific density]",-0.16,0.95,-0.34,0.03,1.001,7693.00,6257.00
"r_sp4[qua2,Reproductive heterospecific density]",0.08,0.95,-0.57,0.76,1.000,8024.00,22107.00
"r_sp4[sapg,Reproductive heterospecific density]",0.14,0.95,-0.42,0.68,1.001,7271.00,17988.00
"r_sp4[slot,Reproductive heterospecific density]",-0.04,0.95,-0.54,0.41,1.001,7163.00,19426.00
"r_sp4[soce,Reproductive heterospecific density]",0.55,0.95,0.29,0.78,1.000,8749.00,9959.00
"r_sp4[stea,Reproductive heterospecific density]",-0.09,0.95,-0.71,0.50,1.000,7738.00,22111.00
"r_sp4[swa2,Reproductive heterospecific density]",-0.23,0.95,-0.80,0.29,1.000,7046.00,17920.00
"r_sp4[taba,Reproductive heterospecific density]",-0.05,0.95,-0.49,0.32,1.000,8359.00,15651.00
"r_sp4[tabg,Reproductive heterospecific density]",0.10,0.95,-0.49,0.68,1.001,7075.00,19914.00
"r_sp4[tabr,Reproductive heterospecific density]",-0.08,0.95,-0.68,0.46,1.001,7079.00,22017.00
"r_sp4[tacv,Reproductive heterospecific density]",0.22,0.95,-0.32,0.73,1.001,7794.00,19580.00
"r_sp4[tero,Reproductive heterospecific density]",0.26,0.95,-0.01,0.53,1.000,8787.00,10937.00
"r_sp4[tet2,Reproductive heterospecific density]",-0.10,0.95,-0.42,0.19,1.001,8676.00,10016.00
"r_sp4[tri1,Reproductive heterospecific density]",-0.16,0.95,-0.56,0.24,1.001,7826.00,16737.00
"r_sp4[tri3,Reproductive heterospecific density]",-0.07,0.95,-0.33,0.20,1.001,6683.00,5473.00
"r_sp4[tri6,Reproductive heterospecific density]",-0.01,0.95,-0.69,0.64,1.000,7518.00,23429.00
"r_sp4[tric,Reproductive heterospecific density]",-0.04,0.95,-0.28,0.22,1.000,9030.00,12127.00
"r_sp4[vir1,Reproductive heterospecific density]",0.26,0.95,0.05,0.47,1.000,8309.00,7122.00
"r_sp4[vir2,Reproductive heterospecific density]",-0.01,0.95,-0.30,0.27,1.000,8497.00,15660.00
"r_sp4[vir3,Reproductive heterospecific density]",-0.29,0.95,-0.89,0.23,1.000,7509.00,16850.00
"r_sp4[vocf,Reproductive heterospecific density]",-0.12,0.95,-0.76,0.51,1.001,7191.00,16975.00
"r_sp4[xylm,Reproductive heterospecific density]",0.07,0.95,-0.50,0.63,1.000,7843.00,20871.00
"r_sp4[zan1,Reproductive heterospecific density]",0.04,0.95,-0.48,0.56,1.000,7531.00,16074.00
"r_sp4[zan2,Reproductive heterospecific density]",-0.06,0.95,-0.69,0.52,1.001,8258.00,13828.00
"r_sp4[zueg,Reproductive heterospecific density]",-0.04,0.95,-0.75,0.65,1.000,7500.00,18609.00
"r_sp4[adet,Non-reproductive conspecific density]",0.00,0.95,-0.11,0.11,1.000,8282.00,11635.00
"r_sp4[alcc,Non-reproductive conspecific density]",0.00,0.95,-0.11,0.11,1.000,7779.00,12004.00
"r_sp4[alsb,Non-reproductive conspecific density]",0.00,0.95,-0.14,0.18,1.001,8340.00,13037.00
"r_sp4[anap,Non-reproductive conspecific density]",0.00,0.95,-0.10,0.10,1.000,8060.00,10739.00
"r_sp4[anna,Non-reproductive conspecific density]",0.00,0.95,-0.11,0.12,1.000,7825.00,10743.00
"r_sp4[aspc,Non-reproductive conspecific density]",0.00,0.95,-0.08,0.13,1.000,8337.00,11480.00
"r_sp4[astg,Non-reproductive conspecific density]",0.01,0.95,-0.05,0.08,1.000,8931.00,10956.00
"r_sp4[asts,Non-reproductive conspecific density]",-0.00,0.95,-0.11,0.10,1.000,8104.00,11409.00
"r_sp4[attb,Non-reproductive conspecific density]",0.00,0.95,-0.10,0.12,1.001,7734.00,9989.00
"r_sp4[boms,Non-reproductive conspecific density]",0.00,0.95,-0.10,0.12,1.000,7756.00,11014.00
"r_sp4[capf,Non-reproductive conspecific density]",0.00,0.95,-0.11,0.11,1.000,7717.00,11983.00
"r_sp4[cas1,Non-reproductive conspecific density]",-0.00,0.95,-0.11,0.10,1.000,7613.00,10931.00
"r_sp4[cas2,Non-reproductive conspecific density]",-0.01,0.95,-0.11,0.05,1.000,8759.00,9936.00
"r_sp4[cas3,Non-reproductive conspecific density]",-0.00,0.95,-0.10,0.10,1.000,7944.00,12014.00
"r_sp4[casg,Non-reproductive conspecific density]",0.00,0.95,-0.10,0.13,1.000,8281.00,11171.00
"r_sp4[cavp,Non-reproductive conspecific density]",-0.00,0.95,-0.12,0.09,1.000,7818.00,10915.00
"r_sp4[cedo,Non-reproductive conspecific density]",0.00,0.95,-0.11,0.11,1.000,8359.00,8948.00
"r_sp4[ces1,Non-reproductive conspecific density]",0.00,0.95,-0.11,0.12,1.000,7982.00,9932.00
"r_sp4[cora,Non-reproductive conspecific density]",-0.02,0.95,-0.17,0.08,1.001,8027.00,9378.00
"r_sp4[cupr,Non-reproductive conspecific density]",0.00,0.95,-0.10,0.11,1.000,8486.00,10607.00
"r_sp4[cups,Non-reproductive conspecific density]",-0.00,0.95,-0.11,0.09,1.000,8040.00,9969.00
"r_sp4[dipp,Non-reproductive conspecific density]",-0.01,0.95,-0.13,0.08,1.000,8085.00,12549.00
"r_sp4[eryc,Non-reproductive conspecific density]",-0.00,0.95,-0.11,0.10,1.000,8204.00,10509.00
"r_sp4[gua1,Non-reproductive conspecific density]",-0.01,0.95,-0.12,0.06,1.000,8481.00,8660.00
"r_sp4[gua2,Non-reproductive conspecific density]",-0.00,0.95,-0.08,0.09,1.001,8103.00,14811.00
"r_sp4[guau,Non-reproductive conspecific density]",-0.00,0.95,-0.07,0.06,1.000,8385.00,10468.00
"r_sp4[ham2,Non-reproductive conspecific density]",0.00,0.95,-0.11,0.13,1.000,7519.00,11571.00
"r_sp4[hurc,Non-reproductive conspecific density]",-0.00,0.95,-0.09,0.08,1.001,8070.00,10924.00
"r_sp4[hybp,Non-reproductive conspecific density]",0.00,0.95,-0.09,0.09,1.000,7490.00,12873.00
"r_sp4[inma,Non-reproductive conspecific density]",0.00,0.95,-0.08,0.10,1.001,7791.00,11720.00
"r_sp4[jacc,Non-reproductive conspecific density]",0.01,0.95,-0.10,0.13,1.000,8072.00,12598.00
"r_sp4[laep,Non-reproductive conspecific density]",0.01,0.95,-0.08,0.13,1.000,7975.00,10412.00
"r_sp4[laet,Non-reproductive conspecific density]",-0.01,0.95,-0.16,0.11,1.000,8695.00,10816.00
"r_sp4[lafp,Non-reproductive conspecific density]",0.00,0.95,-0.12,0.12,1.000,7621.00,11417.00
"r_sp4[linl,Non-reproductive conspecific density]",0.01,0.95,-0.07,0.14,1.000,7466.00,7079.00
"r_sp4[lonl,Non-reproductive conspecific density]",-0.00,0.95,-0.09,0.09,1.000,7942.00,11703.00
"r_sp4[lue1,Non-reproductive conspecific density]",0.00,0.95,-0.10,0.12,1.000,7492.00,13824.00
"r_sp4[mays,Non-reproductive conspecific density]",-0.00,0.95,-0.11,0.12,1.000,8449.00,9013.00
"r_sp4[necc,Non-reproductive conspecific density]",-0.00,0.95,-0.10,0.11,1.000,7721.00,10962.00
"r_sp4[necl,Non-reproductive conspecific density]",0.00,0.95,-0.09,0.13,1.000,7684.00,10360.00
"r_sp4[ochp,Non-reproductive conspecific density]",0.00,0.95,-0.15,0.15,1.000,7631.00,11375.00
"r_sp4[ococ,Non-reproductive conspecific density]",0.00,0.95,-0.11,0.11,1.000,7829.00,9927.00
"r_sp4[ocoo,Non-reproductive conspecific density]",0.02,0.95,-0.08,0.15,1.001,8237.00,8023.00
"r_sp4[ocos,Non-reproductive conspecific density]",-0.00,0.95,-0.13,0.11,1.000,8281.00,10874.00
"r_sp4[oenm,Non-reproductive conspecific density]",0.00,0.95,-0.07,0.12,1.000,5050.00,5029.00
"r_sp4[perx,Non-reproductive conspecific density]",-0.00,0.95,-0.11,0.10,1.000,8076.00,10112.00
"r_sp4[phom,Non-reproductive conspecific density]",0.01,0.95,-0.08,0.14,1.000,7129.00,8330.00
"r_sp4[plae,Non-reproductive conspecific density]",-0.00,0.95,-0.12,0.07,1.001,8120.00,10868.00
"r_sp4[plap,Non-reproductive conspecific density]",-0.01,0.95,-0.11,0.05,1.001,9086.00,11390.00
"r_sp4[prop,Non-reproductive conspecific density]",-0.00,0.95,-0.10,0.10,1.001,7765.00,10135.00
"r_sp4[prot,Non-reproductive conspecific density]",0.01,0.95,-0.07,0.12,1.000,8080.00,10488.00
"r_sp4[pse1,Non-reproductive conspecific density]",0.00,0.95,-0.10,0.11,1.000,8372.00,10616.00
"r_sp4[pter,Non-reproductive conspecific density]",0.00,0.95,-0.09,0.12,1.000,8046.00,9428.00
"r_sp4[qua1,Non-reproductive conspecific density]",-0.00,0.95,-0.08,0.08,1.000,7673.00,14214.00
"r_sp4[qua2,Non-reproductive conspecific density]",-0.00,0.95,-0.12,0.11,1.000,7134.00,10578.00
"r_sp4[sapg,Non-reproductive conspecific density]",0.00,0.95,-0.09,0.12,1.000,8170.00,11248.00
"r_sp4[slot,Non-reproductive conspecific density]",-0.00,0.95,-0.11,0.08,1.001,8652.00,11143.00
"r_sp4[soce,Non-reproductive conspecific density]",-0.00,0.95,-0.14,0.11,1.000,7902.00,12521.00
"r_sp4[stea,Non-reproductive conspecific density]",0.00,0.95,-0.09,0.12,1.000,7336.00,9592.00
"r_sp4[swa2,Non-reproductive conspecific density]",0.00,0.95,-0.09,0.12,1.001,7523.00,10276.00
"r_sp4[taba,Non-reproductive conspecific density]",0.00,0.95,-0.10,0.11,1.000,7899.00,12760.00
"r_sp4[tabg,Non-reproductive conspecific density]",-0.00,0.95,-0.11,0.10,1.000,8734.00,12211.00
"r_sp4[tabr,Non-reproductive conspecific density]",0.00,0.95,-0.11,0.15,1.000,8465.00,11534.00
"r_sp4[tacv,Non-reproductive conspecific density]",-0.01,0.95,-0.12,0.07,1.000,8325.00,10370.00
"r_sp4[tero,Non-reproductive conspecific density]",-0.01,0.95,-0.16,0.10,1.000,7836.00,11216.00
"r_sp4[tet2,Non-reproductive conspecific density]",0.00,0.95,-0.08,0.08,1.001,7906.00,13927.00
"r_sp4[tri1,Non-reproductive conspecific density]",0.00,0.95,-0.09,0.10,1.000,7853.00,10793.00
"r_sp4[tri3,Non-reproductive conspecific density]",-0.00,0.95,-0.09,0.07,1.001,7782.00,12432.00
"r_sp4[tri6,Non-reproductive conspecific density]",0.00,0.95,-0.11,0.10,1.000,8168.00,10233.00
"r_sp4[tric,Non-reproductive conspecific density]",-0.01,0.95,-0.15,0.10,1.000,7668.00,10338.00
"r_sp4[vir1,Non-reproductive conspecific density]",0.00,0.95,-0.10,0.14,1.000,7876.00,9090.00
"r_sp4[vir2,Non-reproductive conspecific density]",-0.00,0.95,-0.09,0.07,1.000,7547.00,13506.00
"r_sp4[vir3,Non-reproductive conspecific density]",0.01,0.95,-0.08,0.12,1.001,7890.00,9910.00
"r_sp4[vocf,Non-reproductive conspecific density]",-0.00,0.95,-0.11,0.10,1.000,8434.00,10650.00
"r_sp4[xylm,Non-reproductive conspecific density]",-0.00,0.95,-0.10,0.09,1.000,7351.00,11080.00
"r_sp4[zan1,Non-reproductive conspecific density]",0.00,0.95,-0.08,0.12,1.000,7774.00,10644.00
"r_sp4[zan2,Non-reproductive conspecific density]",-0.01,0.95,-0.16,0.08,1.000,8179.00,8317.00
"r_sp4[zueg,Non-reproductive conspecific density]",0.00,0.95,-0.11,0.14,1.000,7623.00,11076.00
"r_year[1989,Intercept]",-0.30,0.95,-0.53,-0.08,1.000,6912.00,12892.00
"r_year[1990,Intercept]",-0.04,0.95,-0.21,0.13,1.000,7037.00,10782.00
"r_year[1991,Intercept]",0.23,0.95,0.06,0.40,1.000,7742.00,9619.00
"r_year[1992,Intercept]",-0.15,0.95,-0.31,0.01,1.000,7536.00,8444.00
"r_year[1993,Intercept]",0.09,0.95,-0.09,0.28,1.000,7776.00,11986.00
"r_year[1994,Intercept]",0.05,0.95,-0.12,0.21,1.000,7104.00,10470.00
"r_year[1995,Intercept]",0.21,0.95,0.03,0.40,1.000,6945.00,9841.00
"r_year[1996,Intercept]",0.16,0.95,-0.01,0.34,1.001,7348.00,10761.00
"r_year[1997,Intercept]",-0.13,0.95,-0.29,0.03,1.000,7725.00,9924.00
"r_year[1998,Intercept]",-0.07,0.95,-0.25,0.12,1.000,7688.00,10793.00
"r_year[1999,Intercept]",0.16,0.95,-0.02,0.35,1.001,7548.00,11022.00
"r_year[2000,Intercept]",0.22,0.95,0.05,0.39,1.000,7762.00,9882.00
"r_year[2001,Intercept]",-0.06,0.95,-0.23,0.09,1.000,7480.00,9803.00
"r_year[2002,Intercept]",0.38,0.95,0.20,0.55,1.001,7796.00,8320.00
"r_year[2003,Intercept]",-0.01,0.95,-0.17,0.15,1.000,6892.00,9041.00
"r_year[2004,Intercept]",0.20,0.95,0.03,0.39,1.000,7600.00,11022.00
"r_year[2005,Intercept]",0.34,0.95,0.18,0.52,1.001,7790.00,9077.00
"r_year[2006,Intercept]",0.18,0.95,0.01,0.34,1.000,7535.00,9260.00
"r_year[2007,Intercept]",0.18,0.95,0.02,0.35,1.000,7608.00,9686.00
"r_year[2008,Intercept]",0.04,0.95,-0.12,0.21,1.000,6852.00,9039.00
"r_year[2009,Intercept]",-0.22,0.95,-0.38,-0.05,1.000,7451.00,9070.00
"r_year[2010,Intercept]",0.18,0.95,0.03,0.35,1.000,7627.00,8719.00
"r_year[2011,Intercept]",-0.14,0.95,-0.27,0.01,1.000,7573.00,6762.00
"r_year[2012,Intercept]",-0.08,0.95,-0.23,0.08,1.000,7455.00,7549.00
"r_year[2013,Intercept]",0.17,0.95,-0.00,0.33,1.000,6687.00,9238.00
"r_year[2014,Intercept]",-0.31,0.95,-0.47,-0.16,1.000,7850.00,7985.00
"r_year[2015,Intercept]",-0.02,0.95,-0.18,0.15,1.000,6713.00,9883.00
"r_year[2016,Intercept]",-0.60,0.95,-0.77,-0.43,1.000,8086.00,7408.00
"r_year[2017,Intercept]",-0.15,0.95,-0.34,0.05,1.000,6912.00,10646.00
"r_year[2018,Intercept]",0.06,0.95,-0.10,0.23,1.000,7532.00,10255.00
"r_year[2019,Intercept]",-0.25,0.95,-0.42,-0.09,1.001,6804.00,8717.00
"r_year[2020,Intercept]",0.12,0.95,-0.05,0.30,1.000,7712.00,10340.00
"r_year[2021,Intercept]",-0.31,0.95,-0.49,-0.13,1.000,7318.00,10418.00
"r_year[2022,Intercept]",0.09,0.95,-0.10,0.26,1.001,6785.00,10426.00
"r_year[2023,Intercept]",-0.21,0.95,-0.39,-0.05,1.001,7682.00,9827.00
sd_quadrat__Intercept,0.15,0.95,0.03,0.24,1.006,1245.00,987.00
sd_quadrat:trap__Intercept,0.38,0.95,0.32,0.44,1.002,5904.00,2775.00
sd_sp4__Intercept,1.97,0.95,1.64,2.38,1.002,4068.00,2402.00
sd_sp4__Reproductive conspecific density,0.76,0.95,0.43,1.18,1.001,4332.00,2166.00
sd_sp4__Reproductive heterospecific density,0.34,0.95,0.23,0.46,1.000,7569.00,4531.00
sd_sp4__Non-reproductive conspecific density,0.04,0.95,0.00,0.10,1.000,6428.00,4273.00
sd_year__Intercept,0.23,0.95,0.17,0.31,1.001,6419.00,3768.00
cor_sp4__Intercept__Reproductive conspecific density,-0.14,0.95,-0.46,0.18,1.001,5476.00,3354.00
cor_sp4__Intercept__Reproductive heterospecific density,0.07,0.95,-0.28,0.40,1.000,7402.00,7713.00
cor_sp4__Reproductive conspecific density__Reproductive heterospecific density,-0.37,0.95,-0.75,0.07,1.000,5704.00,3565.00
cor_sp4__Intercept__Non-reproductive conspecific density,-0.05,0.95,-0.81,0.75,1.001,7508.00,14638.00
cor_sp4__Reproductive conspecific density__Non-reproductive conspecific density,0.32,0.95,-0.53,0.95,1.001,8371.00,10122.00
cor_sp4__Reproductive heterospecific density__Non-reproductive conspecific density,-0.19,0.95,-0.88,0.61,1.000,8711.00,12977.00
